Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
MN 07,Upper West Side,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,48.5%,43.9%,44.2%,46.6%,44.6%,
MN 07,Upper West Side,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,5.0%,5.9%,6.8%,5.9%,
MN 07,Upper West Side,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,21.3%,20.2%,22.4%,22.0%,23.5%,23.4%,
MN 07,Upper West Side,Demographics,Population,"All people, both children and adults, living in a given geographic area.","192,213","216,812","199,843","179,682","197,826","226,989",
MN 07,Upper West Side,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,13.4%,14.8%,16.7%,21.3%,25.0%,21.9%,
MN 07,Upper West Side,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,14.6%,21.2%,18.9%,17.9%,17.8%,21.1%,
MN 07,Upper West Side,Demographics,Single-person households,The share of households that include only one person.,,50.4%,45.9%,50.3%,46.9%,42.1%,
MN 07,Upper West Side,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,5.6%,7.7%,7.7%,10.1%,10.9%,10.2%,
MN 07,Upper West Side,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,8.5%,7.0%,6.6%,4.7%,6.5%,6.8%,
MN 07,Upper West Side,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,14.5%,10.8%,15.3%,14.0%,13.8%,15.9%,
MN 07,Upper West Side,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,69.0%,72.7%,68.1%,68.7%,63.6%,61.7%,
MN 07,Upper West Side,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.49,0.45,0.50,0.50,0.56,0.58,
MN 07,Upper West Side,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,6.7,8.6,6.7,9.2,8.5,
MN 07,Upper West Side,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,29.2%,35.6%,32.0%,35.1%,37.1%,35.6%,
MN 07,Upper West Side,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$120,070","$132,230","$120,320","$158,280","$125,390","$145,620",
MN 07,Upper West Side,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$267,470","$230,920","$289,400","$240,040","$210,220",
MN 07,Upper West Side,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$96,300","$83,780","$121,550","$95,560","$111,080",
MN 07,Upper West Side,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,10.0%,9.0%,10.4%,8.7%,10.4%,10.5%,
MN 07,Upper West Side,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,13.2%,12.5%,12.2%,9.3%,10.3%,
MN 07,Upper West Side,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,6.0%,6.5%,9.3%,7.0%,9.0%,
MN 07,Upper West Side,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,70.7%,68.3%,68.8%,63.8%,65.9%,
MN 07,Upper West Side,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,5.9%,5.1%,4.7%,4.7%,4.3%,
MN 07,Upper West Side,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",4.8%,4.5%,7.5%,2.3%,11.5%,4.1%,
MN 07,Upper West Side,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,3.8%,5.3%,6.6%,7.3%,
MN 07,Upper West Side,Renters and Rental Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,13.9,14.8,41.1,34.9,42.8,55.4
MN 07,Upper West Side,Renters and Rental Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,1.8%,3.1%,3.4%,3.1%,
MN 07,Upper West Side,Renters and Rental Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,108.6,81.8,165.6,161.7,150.5,175.4
MN 07,Upper West Side,Renters and Rental Conditions,"Median rent, studios and 1-bedrooms (2023$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$2,170","$2,430","$2,600","$2,620",
MN 07,Upper West Side,Renters and Rental Conditions,"Median rent, 2- and 3-bedrooms (2023$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,860","$2,040","$2,230","$2,520",
