Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
QN 12,Jamaica/Hollis,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,47.9%,46.2%,46.9%,48.5%,46.2%,
QN 12,Jamaica/Hollis,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,8.6%,6.8%,8.3%,7.5%,
QN 12,Jamaica/Hollis,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,34.2%,40.8%,42.3%,45.1%,45.3%,46.0%,
QN 12,Jamaica/Hollis,Demographics,Population,"All people, both children and adults, living in a given geographic area.","218,993","216,115","222,074","241,275","270,688","248,158",
QN 12,Jamaica/Hollis,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,11.3%,11.3%,11.2%,15.1%,14.6%,15.9%,
QN 12,Jamaica/Hollis,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,44.9%,42.3%,42.0%,36.9%,36.6%,34.3%,
QN 12,Jamaica/Hollis,Demographics,Single-person households,The share of households that include only one person.,,23.7%,21.1%,22.2%,21.7%,21.6%,
QN 12,Jamaica/Hollis,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,4.7%,10.4%,9.2%,14.2%,16.2%,15.1%,
QN 12,Jamaica/Hollis,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,72.7%,69.1%,62.5%,58.6%,55.2%,55.2%,
QN 12,Jamaica/Hollis,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,13.6%,13.6%,21.4%,18.0%,15.9%,15.8%,
QN 12,Jamaica/Hollis,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,2.1%,1.8%,1.6%,2.3%,1.4%,2.3%,
QN 12,Jamaica/Hollis,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.45,0.49,0.55,0.60,0.64,0.65,
QN 12,Jamaica/Hollis,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,3.8,4.4,4.5,5.0,4.6,
QN 12,Jamaica/Hollis,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,50.6%,55.7%,46.3%,50.5%,51.8%,49.3%,
QN 12,Jamaica/Hollis,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$72,040","$71,350","$66,530","$76,100","$75,660","$75,160",
QN 12,Jamaica/Hollis,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$90,390","$96,490","$104,890","$105,230","$108,320",
QN 12,Jamaica/Hollis,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$53,040","$47,560","$55,830","$53,130","$54,460",
QN 12,Jamaica/Hollis,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,17.0%,10.1%,18.8%,10.6%,15.2%,13.4%,
QN 12,Jamaica/Hollis,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,11.9%,17.0%,11.4%,12.6%,14.6%,
QN 12,Jamaica/Hollis,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,13.0%,28.2%,13.2%,17.9%,18.0%,
QN 12,Jamaica/Hollis,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,65.7%,65.2%,64.2%,60.2%,62.0%,
QN 12,Jamaica/Hollis,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,22.6%,21.1%,17.0%,18.1%,18.1%,
QN 12,Jamaica/Hollis,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",10.9%,9.9%,15.5%,6.6%,14.8%,7.8%,
