Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
BK 14,Flatbush/Midwood,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,47.1%,45.6%,49.0%,47.5%,45.3%,
BK 14,Flatbush/Midwood,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,5.7%,5.2%,7.4%,9.0%,
BK 14,Flatbush/Midwood,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,49.4%,45.6%,46.6%,39.9%,38.8%,42.3%,
BK 14,Flatbush/Midwood,Demographics,Population,"All people, both children and adults, living in a given geographic area.","166,315","163,099","162,715","156,866","173,007","152,340",
BK 14,Flatbush/Midwood,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,10.8%,12.2%,9.8%,14.8%,17.3%,15.4%,
BK 14,Flatbush/Midwood,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,41.8%,35.2%,37.1%,34.2%,27.7%,25.0%,
BK 14,Flatbush/Midwood,Demographics,Single-person households,The share of households that include only one person.,,28.1%,27.1%,31.3%,31.1%,33.6%,
BK 14,Flatbush/Midwood,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,8.0%,8.3%,8.1%,9.5%,9.7%,13.2%,
BK 14,Flatbush/Midwood,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,37.4%,38.3%,34.9%,33.6%,26.0%,29.6%,
BK 14,Flatbush/Midwood,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,12.9%,10.9%,12.7%,13.8%,17.4%,15.8%,
BK 14,Flatbush/Midwood,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,37.6%,40.6%,42.0%,39.8%,39.4%,35.0%,
BK 14,Flatbush/Midwood,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.70,0.67,0.68,0.70,0.74,0.75,
BK 14,Flatbush/Midwood,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,4.6,5.3,5.0,5.3,5.7,
BK 14,Flatbush/Midwood,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,20.4%,22.8%,24.3%,24.6%,23.6%,25.6%,
BK 14,Flatbush/Midwood,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$63,670","$58,530","$57,580","$75,940","$72,810","$74,080",
BK 14,Flatbush/Midwood,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$101,580","$111,760","$141,580","$131,580","$119,880",
BK 14,Flatbush/Midwood,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$51,380","$48,180","$64,670","$59,950","$59,680",
BK 14,Flatbush/Midwood,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,22.8%,18.1%,22.4%,12.0%,16.6%,21.3%,
BK 14,Flatbush/Midwood,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,28.0%,25.7%,23.0%,21.5%,16.2%,
BK 14,Flatbush/Midwood,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,23.3%,31.8%,7.9%,18.1%,31.9%,
BK 14,Flatbush/Midwood,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,58.6%,62.6%,64.5%,61.5%,65.3%,
BK 14,Flatbush/Midwood,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,17.7%,17.3%,13.6%,12.4%,14.7%,
BK 14,Flatbush/Midwood,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",10.7%,7.4%,11.1%,3.6%,8.4%,7.0%,
BK 14,Flatbush/Midwood,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,3.2%,2.7%,2.1%,2.2%,
BK 14,Flatbush/Midwood,Renters and Rental Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,103.6,109.7,178.9,181.5,192.1,262.5
BK 14,Flatbush/Midwood,Renters and Rental Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,5.7%,7.4%,6.6%,7.3%,
BK 14,Flatbush/Midwood,Renters and Rental Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,562.0,506.3,667.7,632.5,607.7,805.5
