Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
QN 07,Flushing/Whitestone,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,38.3%,42.2%,40.4%,38.9%,37.9%,
QN 07,Flushing/Whitestone,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,5.6%,4.6%,6.1%,4.3%,
QN 07,Flushing/Whitestone,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,50.3%,58.2%,53.0%,55.9%,56.7%,58.1%,
QN 07,Flushing/Whitestone,Demographics,Population,"All people, both children and adults, living in a given geographic area.","243,690","246,542","257,327","239,869","242,765","246,851",
QN 07,Flushing/Whitestone,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,15.8%,17.8%,16.0%,21.7%,24.0%,26.0%,
QN 07,Flushing/Whitestone,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,31.5%,28.6%,29.9%,26.1%,19.4%,22.7%,
QN 07,Flushing/Whitestone,Demographics,Single-person households,The share of households that include only one person.,,25.2%,22.8%,25.4%,32.9%,25.7%,
QN 07,Flushing/Whitestone,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,36.1%,45.3%,50.2%,56.4%,52.5%,55.0%,
QN 07,Flushing/Whitestone,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,2.8%,2.9%,2.0%,1.7%,2.2%,1.6%,
QN 07,Flushing/Whitestone,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,16.8%,16.1%,15.0%,15.6%,16.0%,17.3%,
QN 07,Flushing/Whitestone,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,41.2%,34.4%,30.0%,24.3%,26.9%,22.4%,
QN 07,Flushing/Whitestone,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.67,0.65,0.64,0.60,0.63,0.62,
QN 07,Flushing/Whitestone,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,4.5,4.8,6.0,5.7,6.0,
QN 07,Flushing/Whitestone,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,47.3%,50.2%,49.0%,44.1%,52.2%,49.7%,
QN 07,Flushing/Whitestone,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$80,040","$73,880","$69,650","$63,590","$67,080","$73,200",
QN 07,Flushing/Whitestone,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$100,570","$95,080","$101,430","$84,410","$103,520",
QN 07,Flushing/Whitestone,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$58,650","$53,060","$42,320","$50,420","$58,880",
QN 07,Flushing/Whitestone,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,13.2%,10.6%,14.3%,14.8%,17.1%,15.9%,
QN 07,Flushing/Whitestone,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,14.5%,12.6%,23.2%,18.0%,22.3%,
QN 07,Flushing/Whitestone,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,14.1%,14.5%,18.1%,21.7%,19.8%,
QN 07,Flushing/Whitestone,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,62.1%,63.1%,57.5%,56.3%,58.1%,
QN 07,Flushing/Whitestone,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,16.5%,19.9%,21.9%,21.0%,21.3%,
