Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
BK 08,Crown Heights/Prospect Heights,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,50.5%,48.5%,48.5%,45.0%,49.6%,
BK 08,Crown Heights/Prospect Heights,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,5.0%,7.0%,9.4%,9.4%,
BK 08,Crown Heights/Prospect Heights,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,30.7%,32.2%,30.1%,23.7%,26.4%,22.5%,
BK 08,Crown Heights/Prospect Heights,Demographics,Population,"All people, both children and adults, living in a given geographic area.","123,117","127,013","119,323","128,327","138,614","107,419",
BK 08,Crown Heights/Prospect Heights,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,9.6%,9.5%,9.1%,13.6%,11.1%,11.9%,
BK 08,Crown Heights/Prospect Heights,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,38.2%,35.1%,30.7%,21.9%,20.6%,20.5%,
BK 08,Crown Heights/Prospect Heights,Demographics,Single-person households,The share of households that include only one person.,,32.2%,33.2%,33.4%,37.2%,40.7%,
BK 08,Crown Heights/Prospect Heights,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,1.5%,2.0%,3.3%,3.2%,5.1%,4.0%,
BK 08,Crown Heights/Prospect Heights,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,78.1%,73.5%,61.6%,48.8%,43.4%,44.5%,
BK 08,Crown Heights/Prospect Heights,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,9.8%,9.8%,13.7%,14.1%,15.0%,13.5%,
BK 08,Crown Heights/Prospect Heights,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,7.4%,12.5%,19.0%,30.8%,28.1%,30.7%,
BK 08,Crown Heights/Prospect Heights,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.37,0.43,0.56,0.65,0.71,0.69,
BK 08,Crown Heights/Prospect Heights,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,6.9,6.3,7.1,7.6,6.7,
BK 08,Crown Heights/Prospect Heights,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,16.0%,20.0%,19.3%,21.4%,18.3%,19.2%,
