Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
QN 03,Jackson Heights,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,33.5%,30.3%,33.4%,33.9%,37.1%,
QN 03,Jackson Heights,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,7.7%,8.6%,8.3%,6.6%,
QN 03,Jackson Heights,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,62.2%,60.8%,63.7%,59.9%,59.2%,56.1%,
QN 03,Jackson Heights,Demographics,Population,"All people, both children and adults, living in a given geographic area.","181,370","176,387","170,161","175,275","153,743","162,686",
QN 03,Jackson Heights,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,9.8%,10.7%,9.6%,14.8%,14.9%,14.5%,
QN 03,Jackson Heights,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,41.6%,39.3%,38.6%,32.1%,27.3%,32.7%,
QN 03,Jackson Heights,Demographics,Single-person households,The share of households that include only one person.,,20.2%,23.9%,19.8%,23.6%,20.8%,
QN 03,Jackson Heights,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,13.6%,15.6%,16.6%,18.9%,19.7%,17.6%,
QN 03,Jackson Heights,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,9.7%,7.5%,6.2%,4.0%,5.3%,5.8%,
QN 03,Jackson Heights,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,59.0%,61.4%,64.6%,64.9%,62.6%,64.4%,
QN 03,Jackson Heights,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,14.2%,14.4%,10.5%,10.7%,10.4%,9.1%,
QN 03,Jackson Heights,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.60,0.57,0.54,0.53,0.56,0.54,
QN 03,Jackson Heights,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,3.8,4.2,5.3,4.1,4.3,
QN 03,Jackson Heights,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,33.1%,37.5%,33.7%,34.5%,38.9%,36.2%,
QN 03,Jackson Heights,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$70,200","$69,740","$60,000","$77,790","$72,550","$80,470",
QN 03,Jackson Heights,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$84,890","$81,560","$97,010","$88,370","$107,450",
QN 03,Jackson Heights,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$60,630","$50,990","$68,440","$63,740","$72,280",
QN 03,Jackson Heights,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,19.3%,15.7%,22.4%,15.0%,13.7%,15.6%,
QN 03,Jackson Heights,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,14.6%,15.7%,11.4%,12.7%,16.5%,
QN 03,Jackson Heights,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,21.8%,34.1%,28.2%,18.1%,24.2%,
QN 03,Jackson Heights,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,67.3%,68.1%,66.0%,65.1%,65.8%,
QN 03,Jackson Heights,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,29.3%,29.3%,26.9%,26.3%,23.0%,
QN 03,Jackson Heights,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",9.9%,6.8%,10.3%,4.4%,11.6%,4.5%,
QN 03,Jackson Heights,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,2.4%,2.9%,2.1%,3.0%,
QN 03,Jackson Heights,Renters and Rental Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,39.1,28.3,50.9,69.3,65.7,96.6
QN 03,Jackson Heights,Renters and Rental Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,10.0%,10.2%,11.6%,11.3%,
QN 03,Jackson Heights,Renters and Rental Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,235.1,145.5,179.3,291.4,258.9,330.0
QN 03,Jackson Heights,Renters and Rental Conditions,"Median rent, studios and 1-bedrooms (2023$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,420","$1,550","$1,640","$1,660",
QN 03,Jackson Heights,Renters and Rental Conditions,"Median rent, 2- and 3-bedrooms (2023$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,830","$1,920","$2,100","$2,170",
QN 03,Jackson Heights,Renters and Rental Conditions,"Median rent, all (2023$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.","$1,390","$1,600","$1,620","$1,910","$1,850","$1,910",
QN 03,Jackson Heights,Renters and Rental Conditions,"Median rent, recent movers (2023$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,840","$2,070","$2,190","$2,200",
QN 03,Jackson Heights,Renters and Rental Conditions,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,4.4%,,
QN 03,Jackson Heights,Renters and Rental Conditions,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,4.4%,2.9%,1.6%,4.0%,
QN 03,Jackson Heights,Renters and Rental Conditions,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,48.1%,55.9%,55.1%,66.5%,
QN 03,Jackson Heights,Renters and Rental Conditions,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,97.1%,97.8%,98.0%,98.9%,
QN 03,Jackson Heights,Renters and Rental Conditions,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,23.9%,25.9%,25.3%,31.1%,22.0%,
QN 03,Jackson Heights,Renters and Rental Conditions,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,36.0%,32.7%,36.4%,34.7%,
QN 03,Jackson Heights,Renters and Rental Conditions,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,14.7%,13.8%,10.9%,9.0%,
QN 03,Jackson Heights,Renters and Rental Conditions,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,23.0%,,29.2%,34.2%,31.9%,31.3%,
QN 03,Jackson Heights,Renters and Rental Conditions,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,43.3%,48.6%,44.5%,43.1%,
QN 03,Jackson Heights,Renters and Rental Conditions,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,0.0%,0.0%,0.0%,0.0%,
QN 03,Jackson Heights,Renters and Rental Conditions,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,1.5%,0.9%,,,
QN 03,Jackson Heights,Housing Market,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"57,107","58,419","65,006","60,698","59,315",
QN 03,Jackson Heights,Housing Market,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",10.3,13.8,26.7,9.3,5.9,5.8,
QN 03,Jackson Heights,Housing Market,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,143,188,378,136,90,85,
QN 03,Jackson Heights,Housing Market,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,97,160,311,58,26,39,
QN 03,Jackson Heights,Housing Market,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,33,21,50,71,56,41,
QN 03,Jackson Heights,Housing Market,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,45.1,22.1,47.1,34.1
QN 03,Jackson Heights,Housing Market,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,623,307,654,476
QN 03,Jackson Heights,Housing Market,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,13,6,25,,,,
QN 03,Jackson Heights,Housing Market,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,0.0%,20.6%,3.0%,2.0%,2.4%,
