Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
MN 02,Greenwich Village/Soho,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,38.8%,34.7%,37.2%,38.5%,37.2%,
MN 02,Greenwich Village/Soho,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,3.1%,2.9%,3.1%,3.5%,
MN 02,Greenwich Village/Soho,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,23.3%,25.9%,23.1%,22.6%,22.7%,23.1%,
MN 02,Greenwich Village/Soho,Demographics,Population,"All people, both children and adults, living in a given geographic area.","125,567","147,198","144,944","164,514","146,667","149,102",
MN 02,Greenwich Village/Soho,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,10.5%,9.8%,11.2%,13.5%,17.6%,15.2%,
MN 02,Greenwich Village/Soho,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,11.4%,13.9%,12.7%,15.3%,12.9%,13.7%,
MN 02,Greenwich Village/Soho,Demographics,Single-person households,The share of households that include only one person.,,51.4%,49.4%,48.0%,51.0%,47.3%,
MN 02,Greenwich Village/Soho,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,14.5%,19.2%,14.6%,13.8%,16.6%,16.1%,
MN 02,Greenwich Village/Soho,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,3.1%,2.7%,2.4%,3.4%,4.6%,3.7%,
MN 02,Greenwich Village/Soho,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,5.9%,4.9%,5.6%,11.4%,8.4%,9.2%,
MN 02,Greenwich Village/Soho,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,73.6%,71.5%,73.2%,68.4%,66.4%,65.8%,
MN 02,Greenwich Village/Soho,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.43,0.45,0.44,0.50,0.52,0.53,
MN 02,Greenwich Village/Soho,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,6.7,6.0,5.0,6.5,8.3,
MN 02,Greenwich Village/Soho,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,25.9%,29.8%,25.3%,31.6%,34.6%,27.4%,
MN 02,Greenwich Village/Soho,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$125,890","$138,420","$136,520","$187,630","$157,020","$165,380",
MN 02,Greenwich Village/Soho,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$221,520","$206,200","$261,560","$167,870","$224,430",
MN 02,Greenwich Village/Soho,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$114,990","$123,280","$157,980","$145,660","$142,220",
MN 02,Greenwich Village/Soho,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,9.9%,11.9%,9.9%,6.1%,7.8%,8.5%,
MN 02,Greenwich Village/Soho,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,23.4%,8.7%,8.7%,13.3%,13.3%,
MN 02,Greenwich Village/Soho,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,15.3%,7.5%,3.8%,3.6%,5.3%,
MN 02,Greenwich Village/Soho,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,75.5%,77.6%,76.6%,74.6%,75.7%,
MN 02,Greenwich Village/Soho,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,7.5%,5.2%,2.9%,2.4%,5.0%,
MN 02,Greenwich Village/Soho,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",5.8%,4.8%,6.1%,4.3%,5.4%,3.2%,
MN 02,Greenwich Village/Soho,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,5.0%,4.7%,5.6%,4.9%,
MN 02,Greenwich Village/Soho,Renters and Rental Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,22.6,13.9,29.9,29.6,39.1,43.0
MN 02,Greenwich Village/Soho,Renters and Rental Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,3.2%,4.1%,3.1%,2.7%,
MN 02,Greenwich Village/Soho,Renters and Rental Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,95.3,79.5,115.6,157.9,161.4,145.9
MN 02,Greenwich Village/Soho,Renters and Rental Conditions,"Median rent, studios and 1-bedrooms (2023$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$2,690","$3,010","$3,220","$3,310",
MN 02,Greenwich Village/Soho,Renters and Rental Conditions,"Median rent, 2- and 3-bedrooms (2023$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$2,940","$3,220","$3,930","$4,090",
MN 02,Greenwich Village/Soho,Renters and Rental Conditions,"Median rent, all (2023$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.","$2,050","$2,560","$2,910","$3,230","$3,450","$3,500",
MN 02,Greenwich Village/Soho,Renters and Rental Conditions,"Median rent, recent movers (2023$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$3,320","$3,350","$3,760","$3,810",
MN 02,Greenwich Village/Soho,Renters and Rental Conditions,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,16.3%,,
MN 02,Greenwich Village/Soho,Renters and Rental Conditions,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,1.5%,4.7%,3.9%,3.8%,
MN 02,Greenwich Village/Soho,Renters and Rental Conditions,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,10.8%,20.4%,13.2%,12.9%,
MN 02,Greenwich Village/Soho,Renters and Rental Conditions,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,22.3%,39.7%,31.3%,34.7%,
MN 02,Greenwich Village/Soho,Renters and Rental Conditions,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,20.6%,20.3%,20.8%,21.5%,22.1%,
MN 02,Greenwich Village/Soho,Renters and Rental Conditions,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,21.7%,24.1%,24.5%,22.7%,
MN 02,Greenwich Village/Soho,Renters and Rental Conditions,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,36.5%,49.1%,44.5%,50.3%,
MN 02,Greenwich Village/Soho,Renters and Rental Conditions,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,19.3%,,22.0%,16.6%,16.5%,18.1%,
MN 02,Greenwich Village/Soho,Renters and Rental Conditions,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,60.2%,56.9%,57.5%,59.8%,
MN 02,Greenwich Village/Soho,Renters and Rental Conditions,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,28.0%,14.5%,18.3%,17.4%,
MN 02,Greenwich Village/Soho,Renters and Rental Conditions,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,1.0%,0.6%,,,
