Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
QN 09,Kew Gardens/Woodhaven,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,44.3%,43.8%,40.4%,42.7%,42.4%,
QN 09,Kew Gardens/Woodhaven,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,6.5%,7.9%,6.7%,6.3%,
QN 09,Kew Gardens/Woodhaven,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,48.7%,50.2%,49.4%,52.0%,51.0%,50.7%,
QN 09,Kew Gardens/Woodhaven,Demographics,Population,"All people, both children and adults, living in a given geographic area.","143,120","138,679","135,589","143,756","143,841","136,313",
QN 09,Kew Gardens/Woodhaven,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,9.4%,8.9%,8.6%,12.5%,14.9%,15.6%,
QN 09,Kew Gardens/Woodhaven,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,43.1%,41.3%,37.9%,32.7%,30.9%,30.9%,
QN 09,Kew Gardens/Woodhaven,Demographics,Single-person households,The share of households that include only one person.,,20.2%,21.9%,18.1%,21.8%,20.4%,
QN 09,Kew Gardens/Woodhaven,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,16.1%,20.0%,22.8%,27.6%,23.1%,22.6%,
QN 09,Kew Gardens/Woodhaven,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,6.9%,9.1%,9.4%,7.0%,7.1%,5.0%,
QN 09,Kew Gardens/Woodhaven,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,35.6%,38.3%,41.1%,39.4%,42.0%,43.2%,
QN 09,Kew Gardens/Woodhaven,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,28.9%,25.8%,18.6%,16.8%,17.9%,17.3%,
