Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
BK 01,Greenpoint/Williamsburg,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,50.8%,52.0%,47.4%,43.1%,47.6%,
BK 01,Greenpoint/Williamsburg,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,5.0%,4.9%,6.6%,7.7%,
BK 01,Greenpoint/Williamsburg,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,33.5%,29.1%,25.8%,24.2%,23.6%,22.0%,
BK 01,Greenpoint/Williamsburg,Demographics,Population,"All people, both children and adults, living in a given geographic area.","142,098","141,513","146,253","151,308","159,580","186,944",
BK 01,Greenpoint/Williamsburg,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,9.9%,12.5%,9.1%,10.3%,8.7%,10.1%,
BK 01,Greenpoint/Williamsburg,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,35.0%,24.2%,25.2%,20.7%,19.3%,17.6%,
BK 01,Greenpoint/Williamsburg,Demographics,Single-person households,The share of households that include only one person.,,35.0%,31.3%,29.6%,32.4%,35.3%,
BK 01,Greenpoint/Williamsburg,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,3.9%,5.2%,5.2%,6.6%,7.6%,6.1%,
BK 01,Greenpoint/Williamsburg,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,4.0%,2.3%,2.6%,4.5%,3.8%,7.4%,
BK 01,Greenpoint/Williamsburg,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,34.1%,26.8%,30.0%,25.0%,22.2%,24.8%,
BK 01,Greenpoint/Williamsburg,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,52.5%,64.0%,60.7%,61.3%,59.4%,56.7%,
BK 01,Greenpoint/Williamsburg,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.61,0.52,0.54,0.56,0.59,0.61,
BK 01,Greenpoint/Williamsburg,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,7.0,6.5,6.9,8.5,5.7,
BK 01,Greenpoint/Williamsburg,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,14.5%,18.1%,17.7%,17.7%,14.6%,16.1%,
BK 01,Greenpoint/Williamsburg,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$49,120","$47,140","$55,980","$113,770","$111,750","$98,750",
BK 01,Greenpoint/Williamsburg,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$74,650","$96,710","$158,580","$154,050","$124,820",
BK 01,Greenpoint/Williamsburg,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$41,920","$49,580","$104,780","$100,520","$93,690",
BK 01,Greenpoint/Williamsburg,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,33.8%,35.2%,26.5%,20.1%,18.8%,18.8%,
BK 01,Greenpoint/Williamsburg,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,26.5%,28.7%,19.2%,33.7%,23.8%,
BK 01,Greenpoint/Williamsburg,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,58.2%,40.9%,45.2%,33.3%,34.6%,
BK 01,Greenpoint/Williamsburg,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,57.7%,66.4%,73.9%,77.4%,75.2%,
BK 01,Greenpoint/Williamsburg,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,32.7%,21.1%,15.5%,10.7%,15.2%,
BK 01,Greenpoint/Williamsburg,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",9.8%,6.1%,8.2%,4.0%,11.0%,5.7%,
BK 01,Greenpoint/Williamsburg,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,3.0%,2.8%,2.7%,2.3%,
BK 01,Greenpoint/Williamsburg,Renters and Rental Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,23.3,29.3,45.0,38.9,44.1,53.5
BK 01,Greenpoint/Williamsburg,Renters and Rental Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,9.7%,3.6%,3.6%,3.3%,
BK 01,Greenpoint/Williamsburg,Renters and Rental Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,130.3,131.3,197.5,244.2,227.9,247.1
BK 01,Greenpoint/Williamsburg,Renters and Rental Conditions,"Median rent, studios and 1-bedrooms (2023$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,420","$2,320","$2,490","$2,500",
BK 01,Greenpoint/Williamsburg,Renters and Rental Conditions,"Median rent, 2- and 3-bedrooms (2023$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,400","$1,930","$2,290","$2,270",
BK 01,Greenpoint/Williamsburg,Renters and Rental Conditions,"Median rent, all (2023$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.","$1,060","$1,200","$1,420","$2,340","$2,580","$2,330",
BK 01,Greenpoint/Williamsburg,Renters and Rental Conditions,"Median rent, recent movers (2023$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$2,090","$3,100","$3,410","$3,360",
BK 01,Greenpoint/Williamsburg,Renters and Rental Conditions,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,10.9%,,
