Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
MN 11,East Harlem,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,55.7%,53.9%,59.8%,55.9%,55.3%,
MN 11,East Harlem,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,9.8%,12.5%,16.1%,17.5%,
MN 11,East Harlem,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,21.1%,23.1%,25.9%,19.5%,24.8%,24.3%,
MN 11,East Harlem,Demographics,Population,"All people, both children and adults, living in a given geographic area.","115,433","134,287","114,525","111,452","123,582","128,317",
MN 11,East Harlem,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,11.5%,10.4%,12.5%,13.4%,15.5%,13.0%,
MN 11,East Harlem,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,38.1%,36.5%,26.9%,19.1%,25.6%,22.8%,
MN 11,East Harlem,Demographics,Single-person households,The share of households that include only one person.,,36.0%,39.1%,52.8%,41.6%,50.7%,
MN 11,East Harlem,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,2.7%,4.0%,7.0%,5.2%,9.7%,8.9%,
MN 11,East Harlem,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,34.9%,31.2%,32.1%,35.9%,29.5%,29.9%,
MN 11,East Harlem,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,52.8%,51.9%,46.2%,43.0%,43.0%,45.6%,
MN 11,East Harlem,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,7.3%,11.0%,13.3%,14.0%,13.9%,10.8%,
MN 11,East Harlem,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.59,0.62,0.66,0.66,0.70,0.68,
MN 11,East Harlem,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,6.5,6.2,10.1,9.2,10.0,
MN 11,East Harlem,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,6.3%,7.6%,6.6%,5.5%,11.2%,7.8%,
MN 11,East Harlem,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$41,840","$39,410","$40,870","$37,510","$45,540","$36,930",
MN 11,East Harlem,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$78,930","$115,070","$138,630","$97,890","$109,010",
MN 11,East Harlem,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$35,730","$37,920","$34,440","$40,090","$32,830",
MN 11,East Harlem,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,37.1%,36.9%,30.8%,34.0%,31.2%,38.2%,
MN 11,East Harlem,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,30.1%,29.3%,43.1%,28.3%,35.9%,
MN 11,East Harlem,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,46.4%,44.2%,42.0%,45.2%,55.4%,
MN 11,East Harlem,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,52.9%,53.3%,53.7%,56.0%,55.6%,
MN 11,East Harlem,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,36.5%,27.6%,23.5%,21.4%,23.6%,
