Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
QN 04,Elmhurst/Corona,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,30.0%,30.1%,30.9%,31.6%,34.0%,
QN 04,Elmhurst/Corona,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,5.7%,5.4%,4.9%,6.7%,
QN 04,Elmhurst/Corona,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,66.8%,66.3%,63.9%,65.1%,63.8%,62.2%,
QN 04,Elmhurst/Corona,Demographics,Population,"All people, both children and adults, living in a given geographic area.","142,022","138,593","136,517","156,074","137,364","160,534",
QN 04,Elmhurst/Corona,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,8.6%,9.8%,11.0%,12.1%,15.4%,15.4%,
QN 04,Elmhurst/Corona,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,41.8%,40.2%,36.4%,39.5%,31.1%,34.0%,
QN 04,Elmhurst/Corona,Demographics,Single-person households,The share of households that include only one person.,,22.4%,24.6%,19.1%,25.6%,20.0%,
QN 04,Elmhurst/Corona,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,28.2%,31.7%,35.3%,35.3%,31.8%,33.8%,
QN 04,Elmhurst/Corona,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,8.2%,5.8%,6.5%,3.7%,4.9%,8.1%,
QN 04,Elmhurst/Corona,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,49.2%,51.8%,47.5%,53.5%,55.6%,49.6%,
QN 04,Elmhurst/Corona,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,11.1%,9.4%,8.1%,5.3%,4.7%,6.7%,
QN 04,Elmhurst/Corona,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.66,0.62,0.64,0.58,0.58,0.63,
