Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
BK 13,Coney Island,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,40.0%,41.4%,41.2%,38.2%,42.3%,
BK 13,Coney Island,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,7.0%,7.9%,12.8%,12.3%,
BK 13,Coney Island,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,47.6%,54.0%,53.1%,54.6%,54.5%,49.8%,
BK 13,Coney Island,Demographics,Population,"All people, both children and adults, living in a given geographic area.","116,138","103,687","103,112","115,277","120,401","119,482",
BK 13,Coney Island,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,20.7%,26.1%,22.4%,25.5%,28.3%,24.0%,
BK 13,Coney Island,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,29.3%,21.8%,24.2%,25.0%,22.2%,26.3%,
BK 13,Coney Island,Demographics,Single-person households,The share of households that include only one person.,,40.7%,37.1%,31.4%,32.2%,34.0%,
BK 13,Coney Island,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,9.6%,10.1%,14.6%,16.4%,15.5%,13.1%,
BK 13,Coney Island,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,14.4%,11.6%,12.2%,11.0%,10.2%,14.8%,
BK 13,Coney Island,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,15.6%,14.5%,12.5%,14.7%,16.3%,19.4%,
BK 13,Coney Island,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,57.1%,63.4%,59.3%,53.5%,55.5%,49.1%,
BK 13,Coney Island,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.62,0.55,0.60,0.65,0.63,0.68,
BK 13,Coney Island,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,8.5,5.6,7.8,7.1,6.4,
BK 13,Coney Island,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,23.3%,28.5%,30.2%,24.9%,32.5%,24.8%,
BK 13,Coney Island,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$44,570","$40,830","$38,920","$47,130","$45,760","$44,800",
BK 13,Coney Island,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$88,670","$68,340","$92,050","$82,790","$104,780",
BK 13,Coney Island,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$25,230","$28,020","$31,450","$35,400","$37,030",
BK 13,Coney Island,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,28.5%,22.0%,28.0%,25.6%,24.1%,24.9%,
BK 13,Coney Island,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,36.9%,25.3%,34.8%,28.5%,27.6%,
BK 13,Coney Island,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,26.6%,39.4%,30.2%,32.6%,32.7%,
BK 13,Coney Island,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,45.9%,50.0%,50.8%,50.9%,48.9%,
