Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
BK 02,Fort Greene/Brooklyn Heights,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,48.7%,50.2%,45.6%,42.8%,44.5%,
BK 02,Fort Greene/Brooklyn Heights,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,6.9%,6.0%,8.0%,6.4%,
BK 02,Fort Greene/Brooklyn Heights,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,16.9%,18.0%,19.6%,19.6%,20.7%,22.2%,
BK 02,Fort Greene/Brooklyn Heights,Demographics,Population,"All people, both children and adults, living in a given geographic area.","115,106","111,796","125,468","133,346","147,130","135,987",
BK 02,Fort Greene/Brooklyn Heights,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,9.8%,10.0%,9.2%,11.8%,12.5%,13.2%,
BK 02,Fort Greene/Brooklyn Heights,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,24.7%,22.8%,23.3%,22.7%,17.8%,21.6%,
BK 02,Fort Greene/Brooklyn Heights,Demographics,Single-person households,The share of households that include only one person.,,42.6%,37.6%,34.9%,39.2%,40.8%,
BK 02,Fort Greene/Brooklyn Heights,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,4.2%,7.1%,6.6%,11.3%,12.2%,10.2%,
BK 02,Fort Greene/Brooklyn Heights,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,41.8%,28.5%,30.0%,20.3%,20.9%,15.8%,
BK 02,Fort Greene/Brooklyn Heights,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,19.3%,21.4%,16.7%,12.3%,12.1%,12.1%,
BK 02,Fort Greene/Brooklyn Heights,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,31.1%,39.4%,42.7%,52.1%,47.4%,55.5%,
BK 02,Fort Greene/Brooklyn Heights,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.69,0.71,0.70,0.66,0.70,0.64,
BK 02,Fort Greene/Brooklyn Heights,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,5.4,7.3,7.2,6.0,6.5,
BK 02,Fort Greene/Brooklyn Heights,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,26.3%,37.8%,31.1%,29.1%,30.8%,32.8%,
