Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
QN 02,Woodside/Sunnyside,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,32.5%,36.2%,34.0%,37.9%,38.1%,
QN 02,Woodside/Sunnyside,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,5.5%,4.2%,2.6%,3.2%,
QN 02,Woodside/Sunnyside,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,61.0%,60.7%,54.7%,52.3%,50.5%,48.3%,
QN 02,Woodside/Sunnyside,Demographics,Population,"All people, both children and adults, living in a given geographic area.","130,166","128,673","125,229","136,058","149,487","125,926",
QN 02,Woodside/Sunnyside,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,11.0%,10.5%,9.7%,13.3%,13.1%,10.2%,
QN 02,Woodside/Sunnyside,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,29.9%,28.1%,26.0%,24.3%,20.8%,21.1%,
QN 02,Woodside/Sunnyside,Demographics,Single-person households,The share of households that include only one person.,,31.7%,32.2%,30.0%,37.7%,40.1%,
QN 02,Woodside/Sunnyside,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,29.9%,33.0%,34.8%,37.1%,36.1%,31.0%,
QN 02,Woodside/Sunnyside,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,1.9%,2.2%,1.5%,1.7%,2.5%,3.0%,
QN 02,Woodside/Sunnyside,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,34.5%,34.6%,34.1%,29.3%,29.6%,33.4%,
QN 02,Woodside/Sunnyside,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,29.5%,28.8%,27.4%,28.2%,28.8%,28.4%,
QN 02,Woodside/Sunnyside,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.70,0.69,0.69,0.70,0.70,0.71,
QN 02,Woodside/Sunnyside,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,3.5,3.7,4.8,4.6,4.2,
QN 02,Woodside/Sunnyside,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,25.2%,29.5%,24.2%,26.7%,25.3%,23.3%,
QN 02,Woodside/Sunnyside,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$72,770","$65,220","$69,780","$93,660","$88,910","$84,270",
QN 02,Woodside/Sunnyside,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$81,830","$107,750","$107,880","$97,040","$87,090",
QN 02,Woodside/Sunnyside,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$59,990","$63,920","$88,000","$87,210","$83,120",
QN 02,Woodside/Sunnyside,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,16.4%,18.1%,12.2%,9.2%,8.9%,11.5%,
QN 02,Woodside/Sunnyside,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,13.5%,12.9%,13.5%,15.0%,22.4%,
QN 02,Woodside/Sunnyside,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,25.2%,18.5%,7.6%,6.0%,9.6%,
QN 02,Woodside/Sunnyside,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,65.3%,68.7%,69.8%,69.7%,72.6%,
QN 02,Woodside/Sunnyside,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,21.8%,19.8%,14.7%,13.0%,11.3%,
QN 02,Woodside/Sunnyside,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",7.4%,8.7%,7.4%,3.9%,8.3%,2.9%,
QN 02,Woodside/Sunnyside,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,2.3%,3.5%,3.5%,3.7%,
QN 02,Woodside/Sunnyside,Renters and Rental Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,28.2,15.9,23.4,28.5,33.2,43.5
