Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
MN 10,Central Harlem,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,57.6%,57.5%,58.5%,52.4%,54.1%,
MN 10,Central Harlem,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,11.8%,10.6%,11.8%,10.8%,
MN 10,Central Harlem,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,17.8%,20.8%,19.7%,20.5%,23.4%,26.5%,
MN 10,Central Harlem,Demographics,Population,"All people, both children and adults, living in a given geographic area.","109,091","118,143","126,558","136,351","128,792","138,953",
MN 10,Central Harlem,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,11.3%,10.3%,10.5%,11.9%,13.6%,12.2%,
MN 10,Central Harlem,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,34.0%,32.5%,27.8%,22.8%,23.4%,21.9%,
MN 10,Central Harlem,Demographics,Single-person households,The share of households that include only one person.,,46.9%,41.5%,42.7%,45.7%,45.3%,
MN 10,Central Harlem,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,0.8%,2.3%,3.5%,3.6%,3.9%,4.5%,
MN 10,Central Harlem,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,77.3%,69.5%,58.6%,54.3%,44.2%,45.8%,
MN 10,Central Harlem,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,16.8%,18.4%,23.6%,23.6%,27.0%,28.2%,
MN 10,Central Harlem,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,2.1%,6.8%,11.8%,15.5%,17.5%,14.4%,
MN 10,Central Harlem,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.37,0.48,0.59,0.62,0.70,0.69,
MN 10,Central Harlem,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,7.5,7.5,8.9,8.3,9.2,
MN 10,Central Harlem,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,6.6%,12.2%,13.4%,14.0%,15.5%,13.4%,
MN 10,Central Harlem,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$38,930","$39,400","$47,240","$63,590","$49,820","$51,990",
MN 10,Central Harlem,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$131,470","$148,520","$151,190","$140,870","$129,260",
MN 10,Central Harlem,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$35,170","$42,020","$58,130","$41,030","$41,890",
MN 10,Central Harlem,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,36.4%,28.7%,28.1%,20.1%,28.4%,28.2%,
MN 10,Central Harlem,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,34.0%,27.5%,25.2%,36.8%,28.8%,
MN 10,Central Harlem,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,33.7%,35.8%,26.4%,35.5%,26.8%,
MN 10,Central Harlem,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,60.7%,56.8%,69.0%,64.5%,60.3%,
MN 10,Central Harlem,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,26.3%,21.1%,13.9%,16.0%,18.5%,
MN 10,Central Harlem,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",18.6%,13.4%,15.9%,8.7%,15.9%,10.5%,
MN 10,Central Harlem,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,4.7%,4.6%,5.1%,4.7%,
MN 10,Central Harlem,Renters and Rental Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,52.5,50.5,122.9,143.1,175.7,214.6
MN 10,Central Harlem,Renters and Rental Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,3.0%,2.4%,2.8%,2.9%,
MN 10,Central Harlem,Renters and Rental Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,285.0,243.6,439.7,556.3,588.2,675.8
MN 10,Central Harlem,Renters and Rental Conditions,"Median rent, studios and 1-bedrooms (2023$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,$990,"$1,190","$1,340","$1,400",
MN 10,Central Harlem,Renters and Rental Conditions,"Median rent, 2- and 3-bedrooms (2023$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,030","$1,260","$1,350","$1,410",
MN 10,Central Harlem,Renters and Rental Conditions,"Median rent, all (2023$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",$860,$940,"$1,060","$1,440","$1,350","$1,300",
MN 10,Central Harlem,Renters and Rental Conditions,"Median rent, recent movers (2023$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,310","$2,130","$2,220","$2,270",
MN 10,Central Harlem,Renters and Rental Conditions,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,6.2%,,
MN 10,Central Harlem,Renters and Rental Conditions,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,19.3%,18.5%,10.8%,11.4%,
MN 10,Central Harlem,Renters and Rental Conditions,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,59.2%,41.0%,42.3%,45.9%,
MN 10,Central Harlem,Renters and Rental Conditions,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,86.9%,87.5%,86.3%,86.3%,
MN 10,Central Harlem,Renters and Rental Conditions,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,24.8%,26.4%,18.9%,25.0%,19.4%,
MN 10,Central Harlem,Renters and Rental Conditions,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,29.4%,31.5%,30.2%,27.4%,
MN 10,Central Harlem,Renters and Rental Conditions,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,15.6%,23.2%,17.3%,16.4%,
MN 10,Central Harlem,Renters and Rental Conditions,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,24.1%,,24.1%,23.7%,25.1%,26.4%,
MN 10,Central Harlem,Renters and Rental Conditions,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,34.0%,33.7%,36.5%,37.7%,
MN 10,Central Harlem,Renters and Rental Conditions,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,4.5%,1.1%,1.9%,2.7%,
MN 10,Central Harlem,Renters and Rental Conditions,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,7.6%,7.1%,,,
MN 10,Central Harlem,Housing Market,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"57,994","61,313","63,719","64,827","69,281",
MN 10,Central Harlem,Housing Market,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",32.9,7.7,13.3,6.4,2.0,3.3,
MN 10,Central Harlem,Housing Market,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,137,42,106,51,21,32,
MN 10,Central Harlem,Housing Market,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,40,21,57,17,5,11,
MN 10,Central Harlem,Housing Market,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,8,3,7,21,8,11,
MN 10,Central Harlem,Housing Market,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,36.9,14.4,30.9,22.9
MN 10,Central Harlem,Housing Market,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,219,95,204,152
MN 10,Central Harlem,Housing Market,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,2,0,0,,,,
MN 10,Central Harlem,Housing Market,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,0.0%,14.7%,0.4%,0.3%,0.5%,
