Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
QN 01,Astoria,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,42.3%,40.5%,44.0%,42.7%,44.0%,
QN 01,Astoria,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,5.8%,5.7%,8.2%,8.4%,
QN 01,Astoria,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,46.0%,46.2%,44.9%,35.5%,37.1%,37.1%,
QN 01,Astoria,Demographics,Population,"All people, both children and adults, living in a given geographic area.","205,469","190,247","166,666","166,069","156,981","177,115",
QN 01,Astoria,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,10.9%,11.9%,11.7%,13.7%,13.9%,13.9%,
QN 01,Astoria,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,28.5%,25.3%,23.9%,17.4%,14.9%,17.4%,
QN 01,Astoria,Demographics,Single-person households,The share of households that include only one person.,,34.8%,32.8%,34.9%,38.3%,37.4%,
QN 01,Astoria,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,12.5%,13.0%,14.5%,14.7%,15.0%,17.4%,
QN 01,Astoria,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,10.4%,6.7%,6.9%,5.2%,4.7%,9.4%,
QN 01,Astoria,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,27.5%,31.3%,29.2%,27.4%,27.9%,25.1%,
QN 01,Astoria,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,41.9%,45.8%,46.6%,49.5%,47.6%,42.5%,
QN 01,Astoria,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.72,0.67,0.67,0.66,0.67,0.72,
QN 01,Astoria,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,4.4,4.7,4.8,4.9,5.2,
QN 01,Astoria,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,20.0%,20.3%,18.1%,18.9%,18.9%,18.8%,
QN 01,Astoria,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$66,700","$61,440","$62,200","$91,660","$81,010","$84,270",
QN 01,Astoria,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$78,200","$81,500","$105,360","$82,030","$101,260",
QN 01,Astoria,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$58,740","$57,230","$88,740","$80,400","$80,430",
