Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
BK 15,Sheepshead Bay,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,50.5%,50.1%,46.6%,45.2%,43.7%,
BK 15,Sheepshead Bay,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,7.6%,5.9%,7.2%,7.7%,
BK 15,Sheepshead Bay,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,44.8%,45.0%,46.0%,48.0%,49.1%,50.2%,
BK 15,Sheepshead Bay,Demographics,Population,"All people, both children and adults, living in a given geographic area.","149,351","148,784","133,282","147,401","159,185","151,970",
BK 15,Sheepshead Bay,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,17.9%,19.1%,18.3%,19.7%,21.1%,22.5%,
BK 15,Sheepshead Bay,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,31.0%,26.4%,24.1%,29.0%,25.4%,23.4%,
BK 15,Sheepshead Bay,Demographics,Single-person households,The share of households that include only one person.,,31.5%,32.4%,26.9%,28.1%,29.9%,
BK 15,Sheepshead Bay,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,12.3%,12.4%,13.8%,18.4%,20.8%,20.7%,
BK 15,Sheepshead Bay,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,3.1%,3.9%,2.1%,3.8%,5.5%,6.7%,
BK 15,Sheepshead Bay,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,6.3%,6.8%,6.6%,6.7%,11.6%,9.6%,
BK 15,Sheepshead Bay,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,75.8%,76.1%,76.5%,67.2%,58.1%,57.1%,
BK 15,Sheepshead Bay,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.41,0.40,0.39,0.51,0.60,0.62,
BK 15,Sheepshead Bay,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,6.2,5.9,5.8,6.9,6.4,
BK 15,Sheepshead Bay,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,41.6%,48.3%,46.5%,45.7%,49.0%,43.6%,
BK 15,Sheepshead Bay,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$69,130","$61,870","$62,760","$86,970","$70,620","$63,370",
BK 15,Sheepshead Bay,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$95,290","$86,650","$118,330","$103,920","$90,770",
BK 15,Sheepshead Bay,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$36,830","$44,650","$63,950","$50,360","$49,100",
BK 15,Sheepshead Bay,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,16.8%,17.7%,13.7%,11.6%,19.1%,19.1%,
BK 15,Sheepshead Bay,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,22.1%,18.4%,18.0%,23.1%,22.9%,
BK 15,Sheepshead Bay,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,23.1%,19.0%,12.2%,23.3%,23.5%,
BK 15,Sheepshead Bay,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,52.6%,57.9%,59.8%,57.9%,55.1%,
BK 15,Sheepshead Bay,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,15.1%,13.2%,11.7%,15.8%,12.5%,
BK 15,Sheepshead Bay,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",6.6%,5.1%,9.0%,3.8%,10.5%,4.2%,
BK 15,Sheepshead Bay,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,3.8%,3.6%,4.7%,4.2%,
BK 15,Sheepshead Bay,Renters and Rental Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,19.9,28.2,47.5,52.3,49.3,76.0
BK 15,Sheepshead Bay,Renters and Rental Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,3.7%,3.8%,6.3%,10.0%,
BK 15,Sheepshead Bay,Renters and Rental Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,128.9,147.0,208.1,273.1,224.0,283.5
BK 15,Sheepshead Bay,Renters and Rental Conditions,"Median rent, studios and 1-bedrooms (2023$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,270","$1,470","$1,560","$1,590",
BK 15,Sheepshead Bay,Renters and Rental Conditions,"Median rent, 2- and 3-bedrooms (2023$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,480","$1,810","$1,860","$1,900",
BK 15,Sheepshead Bay,Renters and Rental Conditions,"Median rent, all (2023$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.","$1,250","$1,290","$1,400","$1,670","$1,680","$1,670",
BK 15,Sheepshead Bay,Renters and Rental Conditions,"Median rent, recent movers (2023$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,480","$1,840","$1,950","$1,970",
BK 15,Sheepshead Bay,Renters and Rental Conditions,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,3.3%,,
BK 15,Sheepshead Bay,Renters and Rental Conditions,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,,1.3%,6.5%,5.8%,
BK 15,Sheepshead Bay,Renters and Rental Conditions,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,,69.3%,74.4%,76.1%,
BK 15,Sheepshead Bay,Renters and Rental Conditions,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,,97.4%,95.2%,96.1%,
BK 15,Sheepshead Bay,Renters and Rental Conditions,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,24.4%,24.0%,21.5%,23.7%,16.8%,
BK 15,Sheepshead Bay,Renters and Rental Conditions,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,33.4%,34.0%,30.2%,28.0%,
BK 15,Sheepshead Bay,Renters and Rental Conditions,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,16.0%,7.7%,13.4%,10.3%,
BK 15,Sheepshead Bay,Renters and Rental Conditions,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,28.3%,,29.5%,29.8%,31.6%,31.7%,
