Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
QN 06,Rego Park/Forest Hills,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,39.4%,41.4%,41.0%,44.9%,43.2%,
QN 06,Rego Park/Forest Hills,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,5.3%,7.9%,7.7%,7.6%,
QN 06,Rego Park/Forest Hills,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,52.1%,53.3%,49.6%,49.7%,45.6%,48.5%,
QN 06,Rego Park/Forest Hills,Demographics,Population,"All people, both children and adults, living in a given geographic area.","113,422","116,418","114,462","105,586","126,028","128,592",
QN 06,Rego Park/Forest Hills,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,18.8%,17.0%,16.5%,19.0%,22.4%,21.2%,
QN 06,Rego Park/Forest Hills,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,21.9%,24.3%,24.6%,22.9%,20.6%,23.2%,
QN 06,Rego Park/Forest Hills,Demographics,Single-person households,The share of households that include only one person.,,37.9%,36.9%,37.7%,32.5%,35.3%,
QN 06,Rego Park/Forest Hills,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,21.4%,23.1%,26.8%,30.0%,26.0%,26.4%,
QN 06,Rego Park/Forest Hills,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,2.2%,2.6%,1.2%,2.0%,3.2%,2.5%,
QN 06,Rego Park/Forest Hills,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,11.3%,13.0%,14.0%,14.3%,21.5%,23.9%,
QN 06,Rego Park/Forest Hills,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,61.7%,59.1%,56.3%,50.7%,43.0%,40.6%,
QN 06,Rego Park/Forest Hills,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.56,0.58,0.59,0.63,0.70,0.71,
QN 06,Rego Park/Forest Hills,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,5.5,4.8,5.6,4.3,5.0,
QN 06,Rego Park/Forest Hills,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,38.3%,42.8%,42.0%,51.0%,47.9%,44.7%,
QN 06,Rego Park/Forest Hills,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$87,320","$87,660","$73,710","$103,210","$97,950","$93,960",
QN 06,Rego Park/Forest Hills,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$109,240","$107,100","$121,420","$114,600","$119,290",
QN 06,Rego Park/Forest Hills,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$66,200","$60,750","$83,600","$83,530","$76,630",
QN 06,Rego Park/Forest Hills,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,11.2%,9.5%,9.7%,11.1%,8.6%,10.6%,
QN 06,Rego Park/Forest Hills,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,12.1%,13.6%,20.3%,11.2%,13.3%,
QN 06,Rego Park/Forest Hills,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,12.8%,12.3%,9.3%,3.7%,11.4%,
QN 06,Rego Park/Forest Hills,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,63.6%,62.4%,65.5%,60.9%,65.0%,
QN 06,Rego Park/Forest Hills,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,9.3%,8.6%,5.6%,9.2%,7.1%,
QN 06,Rego Park/Forest Hills,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",5.2%,6.2%,8.9%,3.8%,8.9%,2.8%,
QN 06,Rego Park/Forest Hills,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,1.9%,2.7%,2.0%,1.7%,
QN 06,Rego Park/Forest Hills,Renters and Rental Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,9.9,9.3,24.6,31.7,41.5,73.3
