Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
BK 04,Bushwick,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,45.5%,45.7%,42.3%,45.0%,37.4%,
BK 04,Bushwick,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,6.7%,5.2%,9.2%,12.7%,
BK 04,Bushwick,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,33.2%,38.7%,35.7%,30.9%,29.8%,33.7%,
BK 04,Bushwick,Demographics,Population,"All people, both children and adults, living in a given geographic area.","120,710","123,871","140,437","127,550","114,694","94,423",
BK 04,Bushwick,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,6.7%,7.7%,7.1%,9.7%,10.6%,10.8%,
BK 04,Bushwick,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,53.6%,42.8%,43.3%,23.9%,20.7%,16.6%,
BK 04,Bushwick,Demographics,Single-person households,The share of households that include only one person.,,26.8%,18.2%,23.8%,26.2%,31.0%,
BK 04,Bushwick,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,2.8%,3.2%,2.9%,4.2%,8.2%,6.4%,
BK 04,Bushwick,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,23.4%,20.6%,19.3%,15.3%,15.7%,20.1%,
BK 04,Bushwick,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,67.8%,70.3%,68.4%,56.3%,47.6%,42.6%,
BK 04,Bushwick,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,3.1%,4.1%,9.0%,20.6%,24.0%,26.1%,
BK 04,Bushwick,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.48,0.46,0.49,0.61,0.68,0.71,
BK 04,Bushwick,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,6.3,4.6,7.3,6.5,4.2,
BK 04,Bushwick,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,13.7%,18.7%,15.9%,14.6%,15.0%,19.6%,
BK 04,Bushwick,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$41,840","$40,640","$49,530","$76,720","$77,750","$94,230",
BK 04,Bushwick,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$79,180","$79,080","$126,120","$137,900","$118,840",
BK 04,Bushwick,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$35,000","$43,930","$64,050","$66,140","$87,100",
BK 04,Bushwick,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,38.2%,32.9%,28.5%,20.7%,24.2%,19.9%,
BK 04,Bushwick,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,32.2%,27.0%,25.6%,37.2%,32.4%,
BK 04,Bushwick,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,44.8%,42.0%,36.7%,36.9%,20.7%,
BK 04,Bushwick,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,59.0%,61.6%,71.4%,69.4%,72.7%,
BK 04,Bushwick,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,44.6%,39.4%,22.4%,20.6%,17.8%,
BK 04,Bushwick,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",17.2%,7.1%,10.2%,6.3%,10.0%,7.3%,
BK 04,Bushwick,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,5.2%,3.4%,3.3%,3.4%,
BK 04,Bushwick,Renters and Rental Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,180.8,175.6,123.1,108.4,110.1,118.9
BK 04,Bushwick,Renters and Rental Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,5.4%,3.9%,4.0%,4.5%,
BK 04,Bushwick,Renters and Rental Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,755.9,585.6,429.3,471.6,427.1,428.3
BK 04,Bushwick,Renters and Rental Conditions,"Median rent, studios and 1-bedrooms (2023$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,110","$1,410","$1,750","$1,910",
BK 04,Bushwick,Renters and Rental Conditions,"Median rent, 2- and 3-bedrooms (2023$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,420","$1,710","$1,910","$2,090",
BK 04,Bushwick,Renters and Rental Conditions,"Median rent, all (2023$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.","$1,070","$1,200","$1,470","$1,980","$2,080","$2,180",
BK 04,Bushwick,Renters and Rental Conditions,"Median rent, recent movers (2023$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,670","$2,410","$2,740","$2,760",
BK 04,Bushwick,Renters and Rental Conditions,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,6.6%,,
BK 04,Bushwick,Renters and Rental Conditions,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,6.6%,6.4%,5.4%,5.1%,
BK 04,Bushwick,Renters and Rental Conditions,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,65.2%,42.5%,33.7%,35.3%,
BK 04,Bushwick,Renters and Rental Conditions,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,97.5%,85.1%,82.2%,85.2%,
BK 04,Bushwick,Renters and Rental Conditions,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,23.5%,25.5%,27.1%,22.8%,28.2%,
BK 04,Bushwick,Renters and Rental Conditions,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,26.8%,26.9%,27.8%,28.1%,
BK 04,Bushwick,Renters and Rental Conditions,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,11.6%,29.7%,33.9%,35.2%,
BK 04,Bushwick,Renters and Rental Conditions,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,31.9%,,35.7%,31.9%,29.1%,28.2%,
BK 04,Bushwick,Renters and Rental Conditions,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,45.4%,47.2%,46.1%,45.7%,
BK 04,Bushwick,Renters and Rental Conditions,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,0.6%,1.5%,5.6%,3.8%,
BK 04,Bushwick,Renters and Rental Conditions,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,7.5%,7.2%,,,
BK 04,Bushwick,Housing Market,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"42,583","47,609","53,654","46,540","41,188",
BK 04,Bushwick,Housing Market,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",23.1,35.1,53.1,14.2,7.5,10.4,
BK 04,Bushwick,Housing Market,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,242,277,425,112,75,90,
BK 04,Bushwick,Housing Market,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,102,193,211,46,25,30,
BK 04,Bushwick,Housing Market,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,26,30,148,52,28,45,
BK 04,Bushwick,Housing Market,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,67.6,31.4,61.5,49.9
BK 04,Bushwick,Housing Market,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,467,226,442,363
BK 04,Bushwick,Housing Market,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,49,10,16,,,,
BK 04,Bushwick,Housing Market,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,1.2%,63.0%,5.0%,5.6%,6.9%,
BK 04,Bushwick,Housing Market,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,48.4%,1.9%,3.6%,1.5%,2.0%,
BK 04,Bushwick,Housing Market,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,43.6%,12.9%,2.1%,1.0%,0.0%,
BK 04,Bushwick,Housing Market,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",,95.6,20.6,18.3,34.7,25.8,
BK 04,Bushwick,Housing Market,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",,100.0%,7.3%,100.0%,99.6%,54.2%,
BK 04,Bushwick,Housing Market,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",,2.5%,100.0%,4.4%,2.7%,3.0%,
BK 04,Bushwick,Housing Market,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",,108.4,9.4,19.1,38.9,14.0,
BK 04,Bushwick,Housing Market,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,18,33,6,7,8,12,5
BK 04,Bushwick,Housing Market,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,286,666,161,142,110,227,188
BK 04,Bushwick,Housing Market,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,119,179,66,38,68,80,55
BK 04,Bushwick,Housing Market,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,0,32,25,82,103,111,71
BK 04,Bushwick,Housing Market,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,423,910,258,269,289,430,319
BK 04,Bushwick,Housing Market,"Median sales price per unit, 1 family building (2023$)",The median price per unit for one unit buildings.,"$298,710","$620,070","$324,190","$1,007,100","$1,211,750","$1,271,830","$1,390,000"
BK 04,Bushwick,Housing Market,"Median sales price per unit, 2-4 family building (2023$)",The median price per unit for two- to four-unit buildings.,"$152,620","$347,720","$222,360","$544,060","$549,420","$519,110","$494,500"
BK 04,Bushwick,Housing Market,"Median sales price per unit, 5+ family building (2023$)",The median price per unit for multifamily buildings.,"$69,990","$121,560","$114,480","$258,040","$275,400","$226,680","$220,830"
BK 04,Bushwick,Housing Market,"Median sales price per unit, condominium (2023$)",The median price per unit for condominiums.,,"$526,000","$394,370","$683,310","$644,430","$711,190","$674,000"
BK 04,Bushwick,Housing Market,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,250.9,145.1,449.1,480.8,638.3,796.6
BK 04,Bushwick,Housing Market,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,255.0,163.8,433.9,473.6,509.1,444.3
BK 04,Bushwick,Housing Market,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,217.1,226.5,597.2,554.8,459.1,469.4
BK 04,Bushwick,Housing Market,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,100.0,42.5,37.5,93.1,92.4,99.3,
BK 04,Bushwick,Housing Market,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,248.4,183.9,457.8,480.1,505.6,458.8
BK 04,Bushwick,Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,225,0,80,458,487,976,130
BK 04,Bushwick,Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,4,568,450,"1,199",427,376,418
BK 04,Bushwick,Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,,48.9,55.4,50.3,45.2,37.2,
BK 04,Bushwick,Subsidized Housing,Total number of subsidized properties (properties),"Total number of subsidized properties (includes federal programs, Mitchell-Lama, NYC Housing Production Programs and Zoning Incentives or Requirements, and New York State Property Tax Incentives, except 421-a and J-51)",,,,,,,548
BK 04,Bushwick,Subsidized Housing,HUD Financing or Insurance (properties),Total number of properties receiving a benefit from a HUD Financing or Insurance Program,,,,,,,1
BK 04,Bushwick,Subsidized Housing,HUD Financing or Insurance (units),Total number of units in properties receiving a benefit from a HUD Financing or Insurance Program (all affordable),,,,,,,103
BK 04,Bushwick,Subsidized Housing,HUD Project-based Rental Assistance Program (properties),Total number of properties receiving a benefit from a HUD Project-based Rental Assistance Program,,,,,,,11
BK 04,Bushwick,Subsidized Housing,HUD Project-based Rental Assistance Program (units),Total number of units in properties receiving a benefit from a HUD Project-based Rental Assistance Program (includes both affordable and market rate units),,,,,,,740
BK 04,Bushwick,Subsidized Housing,Low Income Housing Tax Credit (properties),Total number of properties receiving a benefit from the Low Income Housing Tax Credit,,,,,,,117
