Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
BK 06,Park Slope/Carroll Gardens,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,53.4%,51.9%,48.6%,46.7%,43.4%,
BK 06,Park Slope/Carroll Gardens,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,4.6%,3.1%,5.3%,5.2%,
BK 06,Park Slope/Carroll Gardens,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,17.4%,16.6%,16.1%,16.7%,17.5%,19.8%,
BK 06,Park Slope/Carroll Gardens,Demographics,Population,"All people, both children and adults, living in a given geographic area.","105,555","110,032","119,558","114,043","117,511","107,930",
BK 06,Park Slope/Carroll Gardens,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,8.6%,8.1%,7.8%,10.6%,11.1%,14.6%,
BK 06,Park Slope/Carroll Gardens,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,25.1%,26.3%,29.2%,34.6%,28.3%,20.8%,
BK 06,Park Slope/Carroll Gardens,Demographics,Single-person households,The share of households that include only one person.,,34.1%,28.7%,24.3%,29.2%,33.0%,
BK 06,Park Slope/Carroll Gardens,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,4.7%,6.8%,6.0%,8.5%,7.5%,8.8%,
BK 06,Park Slope/Carroll Gardens,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,11.2%,8.2%,8.6%,8.5%,9.1%,7.0%,
BK 06,Park Slope/Carroll Gardens,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,24.2%,21.8%,19.8%,10.5%,16.2%,14.0%,
BK 06,Park Slope/Carroll Gardens,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,56.0%,60.6%,62.2%,67.8%,61.8%,62.5%,
BK 06,Park Slope/Carroll Gardens,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.61,0.57,0.56,0.52,0.58,0.58,
