Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
BK 11,Bensonhurst,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,44.7%,43.8%,38.9%,39.9%,39.5%,
BK 11,Bensonhurst,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,6.1%,5.8%,5.8%,6.2%,
BK 11,Bensonhurst,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,50.7%,51.1%,52.2%,56.5%,55.1%,55.4%,
BK 11,Bensonhurst,Demographics,Population,"All people, both children and adults, living in a given geographic area.","171,778","174,593","164,506","186,959","206,519","184,415",
BK 11,Bensonhurst,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,17.0%,18.0%,20.5%,16.5%,16.1%,18.7%,
BK 11,Bensonhurst,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,31.9%,31.9%,29.4%,34.5%,33.9%,29.2%,
BK 11,Bensonhurst,Demographics,Single-person households,The share of households that include only one person.,,28.0%,27.1%,20.9%,20.8%,24.5%,
BK 11,Bensonhurst,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,23.1%,30.2%,33.7%,41.0%,36.6%,41.3%,
BK 11,Bensonhurst,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,0.4%,0.3%,0.1%,1.1%,1.4%,1.6%,
BK 11,Bensonhurst,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,8.8%,9.9%,13.4%,16.0%,19.8%,15.9%,
BK 11,Bensonhurst,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,64.7%,58.6%,50.7%,38.4%,38.0%,38.9%,
BK 11,Bensonhurst,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.52,0.55,0.61,0.66,0.68,0.65,
BK 11,Bensonhurst,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,5.8,4.7,5.3,5.8,5.7,
BK 11,Bensonhurst,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,31.2%,39.1%,39.4%,36.5%,32.6%,32.4%,
BK 11,Bensonhurst,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$61,850","$56,480","$51,130","$66,140","$61,660","$61,480",
BK 11,Bensonhurst,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$84,640","$69,850","$95,960","$84,350","$87,160",
BK 11,Bensonhurst,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$41,100","$42,690","$58,740","$56,300","$54,110",
BK 11,Bensonhurst,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,19.7%,17.9%,14.0%,14.6%,23.1%,19.5%,
BK 11,Bensonhurst,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,22.6%,12.4%,21.2%,21.4%,21.1%,
BK 11,Bensonhurst,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,24.4%,20.1%,17.3%,32.6%,28.5%,
BK 11,Bensonhurst,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,57.1%,53.9%,63.3%,58.0%,60.2%,
BK 11,Bensonhurst,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,28.3%,30.1%,25.0%,25.4%,26.5%,
BK 11,Bensonhurst,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",7.1%,4.9%,8.6%,4.5%,11.7%,8.0%,
BK 11,Bensonhurst,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,3.9%,2.0%,2.2%,2.3%,
BK 11,Bensonhurst,Renters and Rental Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,17.2,22.5,55.0,53.5,55.5,70.8
BK 11,Bensonhurst,Renters and Rental Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,3.9%,6.0%,6.5%,6.9%,
BK 11,Bensonhurst,Renters and Rental Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,116.5,118.9,222.0,285.1,278.7,295.2
BK 11,Bensonhurst,Renters and Rental Conditions,"Median rent, studios and 1-bedrooms (2023$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,230","$1,420","$1,560","$1,570",
BK 11,Bensonhurst,Renters and Rental Conditions,"Median rent, 2- and 3-bedrooms (2023$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,520","$1,710","$1,840","$1,870",
BK 11,Bensonhurst,Renters and Rental Conditions,"Median rent, all (2023$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.","$1,270","$1,420","$1,350","$1,670","$1,700","$1,630",
BK 11,Bensonhurst,Renters and Rental Conditions,"Median rent, recent movers (2023$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,430","$1,720","$1,950","$1,950",
BK 11,Bensonhurst,Renters and Rental Conditions,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,2.9%,,
BK 11,Bensonhurst,Renters and Rental Conditions,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,3.2%,7.8%,6.1%,8.2%,
BK 11,Bensonhurst,Renters and Rental Conditions,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,82.5%,84.1%,82.0%,86.2%,
BK 11,Bensonhurst,Renters and Rental Conditions,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,98.3%,99.6%,99.3%,99.1%,
BK 11,Bensonhurst,Renters and Rental Conditions,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,23.3%,31.1%,25.1%,23.1%,24.1%,
BK 11,Bensonhurst,Renters and Rental Conditions,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,36.5%,33.6%,32.5%,31.6%,
BK 11,Bensonhurst,Renters and Rental Conditions,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,6.7%,3.5%,2.7%,1.8%,
BK 11,Bensonhurst,Renters and Rental Conditions,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,30.9%,,30.5%,33.0%,33.2%,32.8%,
BK 11,Bensonhurst,Renters and Rental Conditions,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,41.1%,45.1%,45.7%,44.6%,
BK 11,Bensonhurst,Renters and Rental Conditions,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,0.0%,0.0%,0.0%,0.0%,
BK 11,Bensonhurst,Renters and Rental Conditions,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,7.3%,4.6%,,,
BK 11,Bensonhurst,Housing Market,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"66,327","67,271","68,574","76,452","70,372",
BK 11,Bensonhurst,Housing Market,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",2.5,3.1,5.2,1.8,1.8,2.0,
