Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
BK 17,East Flatbush,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,38.2%,40.6%,43.9%,42.3%,42.8%,
BK 17,East Flatbush,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,6.1%,5.5%,5.3%,8.3%,
BK 17,East Flatbush,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,54.5%,53.5%,52.6%,48.1%,50.6%,48.3%,
BK 17,East Flatbush,Demographics,Population,"All people, both children and adults, living in a given geographic area.","145,263","147,390","140,285","136,009","139,133","160,620",
BK 17,East Flatbush,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,9.1%,11.2%,11.7%,17.0%,18.0%,19.6%,
BK 17,East Flatbush,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,45.0%,42.9%,40.7%,32.3%,27.9%,25.5%,
BK 17,East Flatbush,Demographics,Single-person households,The share of households that include only one person.,,26.0%,26.5%,27.7%,28.4%,31.0%,
BK 17,East Flatbush,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,1.0%,0.3%,0.8%,2.3%,2.3%,2.0%,
BK 17,East Flatbush,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,88.7%,89.5%,89.2%,85.8%,78.1%,75.7%,
BK 17,East Flatbush,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,5.4%,6.5%,7.5%,7.6%,4.1%,8.9%,
BK 17,East Flatbush,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,1.5%,1.0%,1.1%,2.5%,4.4%,4.2%,
BK 17,East Flatbush,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.21,0.19,0.20,0.26,0.39,0.42,
BK 17,East Flatbush,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,3.9,5.0,4.5,7.5,4.7,
BK 17,East Flatbush,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,32.1%,38.2%,36.0%,32.4%,30.0%,33.6%,
BK 17,East Flatbush,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$63,670","$60,550","$57,930","$70,490","$66,990","$73,580",
BK 17,East Flatbush,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$90,580","$93,170","$93,850","$93,720","$105,450",
BK 17,East Flatbush,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$48,220","$44,740","$60,030","$54,750","$59,860",
BK 17,East Flatbush,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,19.4%,19.1%,15.4%,9.9%,17.6%,17.8%,
BK 17,East Flatbush,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,18.8%,17.9%,10.3%,18.9%,12.9%,
BK 17,East Flatbush,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,29.0%,20.6%,11.0%,19.5%,29.4%,
BK 17,East Flatbush,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,63.8%,64.2%,61.8%,61.2%,64.9%,
BK 17,East Flatbush,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,17.9%,15.1%,14.1%,15.1%,16.6%,
BK 17,East Flatbush,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",12.5%,8.4%,12.8%,5.0%,12.7%,11.0%,
BK 17,East Flatbush,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,5.1%,3.8%,3.9%,4.1%,
