Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
MN 08,Upper East Side,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,50.4%,48.0%,46.5%,46.6%,47.9%,
MN 08,Upper East Side,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,4.9%,2.4%,3.2%,5.3%,
MN 08,Upper East Side,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,21.5%,20.5%,21.1%,25.1%,21.9%,22.6%,
MN 08,Upper East Side,Demographics,Population,"All people, both children and adults, living in a given geographic area.","217,063","214,459","218,842","216,874","207,429","206,975",
MN 08,Upper East Side,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,14.2%,14.3%,17.6%,21.4%,20.9%,22.9%,
MN 08,Upper East Side,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,13.3%,17.2%,16.2%,19.1%,18.2%,16.5%,
MN 08,Upper East Side,Demographics,Single-person households,The share of households that include only one person.,,52.8%,49.0%,45.3%,45.6%,49.3%,
MN 08,Upper East Side,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,6.3%,7.2%,9.2%,13.1%,9.4%,11.5%,
MN 08,Upper East Side,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,3.2%,3.7%,3.0%,2.3%,3.2%,3.6%,
MN 08,Upper East Side,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,6.0%,6.4%,8.2%,9.1%,9.7%,8.9%,
MN 08,Upper East Side,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,82.6%,81.4%,77.6%,72.5%,73.4%,72.0%,
MN 08,Upper East Side,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.31,0.33,0.38,0.45,0.44,0.46,
MN 08,Upper East Side,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,5.5,6.0,5.6,6.0,6.1,
MN 08,Upper East Side,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,30.7%,37.3%,32.7%,35.7%,37.2%,39.4%,
MN 08,Upper East Side,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$136,440","$140,420","$127,640","$155,420","$143,790","$148,520",
MN 08,Upper East Side,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$226,010","$217,360","$256,440","$234,410","$216,310",
MN 08,Upper East Side,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$104,610","$101,760","$139,290","$115,060","$126,210",
MN 08,Upper East Side,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,6.5%,4.8%,6.8%,5.8%,10.0%,7.1%,
MN 08,Upper East Side,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,6.8%,10.0%,4.7%,8.1%,7.1%,
MN 08,Upper East Side,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,2.5%,2.4%,2.9%,8.2%,8.5%,
MN 08,Upper East Side,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,72.6%,71.1%,67.7%,67.6%,70.9%,
MN 08,Upper East Side,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,4.5%,3.1%,2.4%,1.7%,2.1%,
MN 08,Upper East Side,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",3.7%,3.5%,6.0%,2.0%,6.2%,4.2%,
MN 08,Upper East Side,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,5.2%,6.2%,6.6%,7.3%,
MN 08,Upper East Side,Renters and Rental Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,9.9,12.1,20.5,22.0,26.2,34.5
MN 08,Upper East Side,Renters and Rental Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,2.0%,2.8%,2.9%,2.8%,
MN 08,Upper East Side,Renters and Rental Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,58.2,67.4,76.6,104.0,92.7,102.3
