Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
BK 07,Sunset Park,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,40.8%,35.4%,40.1%,45.3%,42.5%,
BK 07,Sunset Park,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,5.2%,4.0%,7.1%,7.4%,
BK 07,Sunset Park,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,46.4%,46.9%,51.6%,46.0%,40.7%,40.5%,
BK 07,Sunset Park,Demographics,Population,"All people, both children and adults, living in a given geographic area.","139,269","153,066","141,190","130,783","134,945","129,890",
BK 07,Sunset Park,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,9.1%,8.8%,8.3%,12.2%,11.4%,12.5%,
BK 07,Sunset Park,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,42.4%,40.5%,37.8%,37.0%,39.3%,36.1%,
BK 07,Sunset Park,Demographics,Single-person households,The share of households that include only one person.,,20.4%,24.1%,19.9%,25.8%,23.6%,
BK 07,Sunset Park,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,21.8%,25.0%,33.5%,34.8%,26.7%,24.6%,
BK 07,Sunset Park,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,3.4%,2.9%,2.0%,3.9%,3.8%,2.4%,
BK 07,Sunset Park,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,47.9%,47.8%,38.8%,35.6%,37.7%,40.7%,
BK 07,Sunset Park,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,23.0%,23.3%,23.9%,23.7%,27.5%,28.3%,
BK 07,Sunset Park,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.67,0.65,0.68,0.69,0.71,0.69,
BK 07,Sunset Park,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,5.0,5.0,5.8,6.0,5.4,
BK 07,Sunset Park,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,25.2%,31.7%,26.8%,30.7%,30.4%,32.1%,
BK 07,Sunset Park,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$60,400","$68,380","$54,010","$78,570","$64,820","$86,380",
BK 07,Sunset Park,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$96,230","$88,260","$124,100","$90,730","$150,920",
BK 07,Sunset Park,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$53,330","$47,300","$66,070","$59,580","$72,480",
BK 07,Sunset Park,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,26.3%,20.8%,26.7%,18.1%,22.9%,20.7%,
BK 07,Sunset Park,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,25.2%,34.0%,22.8%,26.8%,28.2%,
BK 07,Sunset Park,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,28.0%,33.4%,23.4%,24.5%,28.0%,
BK 07,Sunset Park,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,63.5%,67.5%,64.3%,64.6%,68.3%,
BK 07,Sunset Park,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,36.7%,40.7%,31.0%,32.1%,28.2%,
BK 07,Sunset Park,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",8.3%,4.4%,12.9%,3.3%,12.1%,6.5%,
BK 07,Sunset Park,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,2.4%,2.4%,3.3%,3.2%,
BK 07,Sunset Park,Renters and Rental Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,60.4,46.7,80.6,86.6,75.2,92.1
BK 07,Sunset Park,Renters and Rental Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,8.2%,8.9%,7.0%,5.9%,
BK 07,Sunset Park,Renters and Rental Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,309.1,200.9,280.9,398.5,328.2,357.5
BK 07,Sunset Park,Renters and Rental Conditions,"Median rent, studios and 1-bedrooms (2023$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,240","$1,470","$1,680","$1,750",
BK 07,Sunset Park,Renters and Rental Conditions,"Median rent, 2- and 3-bedrooms (2023$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,550","$1,740","$1,820","$1,920",
BK 07,Sunset Park,Renters and Rental Conditions,"Median rent, all (2023$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.","$1,250","$1,420","$1,540","$1,790","$1,780","$1,940",
BK 07,Sunset Park,Renters and Rental Conditions,"Median rent, recent movers (2023$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,600","$1,970","$2,080","$2,140",
BK 07,Sunset Park,Renters and Rental Conditions,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,4.7%,,
